newspaper,language,date,url,text,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/us/missouri-woman-federally-indicted-chilling-death-threats-austin-metcalf-family,Woman federally indicted after alleged death threats sent to Austin Metcalf's family,0.005586,0.000108,0.000482,0.001506,0.000756,0.000468,0.000633,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/outkick-sports/former-espn-anchor-smears-caitlin-clark-fans-sweeping-false-accusations-racism,Former ESPN anchor under fire for racism accusations aimed at Caitlin Clark fans,0.016292,0.000021,0.000142,0.000829,0.002626,0.000054,0.000087,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/us/law-professor-killer-stalked-shark-circling-ex-mother-in-law-murder-for-hire-ambush,Wealthy family's wiretaps suggest they thought they'd gotten away with murder,0.056877,0.000051,0.000461,0.000415,0.018041,0.001168,0.000162,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/food-drink/beloved-restaurant-chain-known-ice-cream-now-operates-handful-states,Iconic restaurant chain that once had hundreds of locations is down to just 87,0.000543,0.000033,0.000252,0.000122,0.000327,0.000047,0.000027,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/health/women-turn-testosterone-low-sex-drive-doctors-confront-treatment-experimentation,"Testosterone use is surging among women, but doctors flag a surprising problem",0.011224,0.000186,0.000776,0.004535,0.002339,0.000483,0.001022,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/politics/kirk-family-powerful-evidence-utah-law-could-derail-wrongful-death-case,Kirk family’s evidence faces legal twist that could upend wrongful death case: experts,0.000746,0.000029,0.000169,0.000124,0.000173,0.000106,0.000032,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/politics/congressman-tom-barrett-being-socialist-should-disqualify-him-peoples-consideration-my-district,"Swing district Republican calls out opponent's radical views on border, crime",0.005052,0.000025,0.000297,0.000478,0.001244,0.000050,0.000042,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/us/clancy-holdout-juror-taps-former-trump-lawyer-fight-back-hes-dragged-through-mud-attorney,Clancy juror who wouldn't budge hires a familiar Trump attorney to fight back,0.001125,0.000016,0.000143,0.000081,0.000408,0.000036,0.000025,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/politics/anthropic-ceo-pushes-independent-ai-oversight-watchdog-example-shares-roots-industry-insiders,"Rogue ChatGPT agent hacked its way out and struck a real company, exec warns",0.001029,0.000022,0.000164,0.000131,0.000285,0.000056,0.000025,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/outkick-sports/buffalo-bills-fans-pay-eye-opening-prices-beer-food-highmark-stadium-opener,Buffalo Bills fans pay eye-opening prices for beer and food at stadium opener,0.001572,0.000021,0.000189,0.000125,0.000406,0.000053,0.000034,100.000000,0.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/outkick-sports/ole-miss-fans-open-espn-college-gameday-vulgar-chant-lane-kiffin,Ole Miss fans open ESPN's 'College GameDay' with a vulgar chant for Lane Kiffin,0.013062,0.000024,0.000423,0.000184,0.004589,0.000077,0.000171,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxbusiness.com/economy/california-entrepreneur-warns-billionaire-wealth-tax-could-trigger-giant-sucking-sound-business-exits,'I'm out': California wealth tax sparks stark business warning from entrepreneurs,0.000361,0.000019,0.000100,0.000087,0.000155,0.000026,0.000020,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/us/philly-serial-killer-probe-expose-larger-network-apparent-snuff-films-expert-says,Gruesome images found in possible serial killer probe may expose evil network: expert,0.001554,0.000057,0.000456,0.000213,0.001011,0.000065,0.000038,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/video/6405297061112,Ty Gibbs reflects on his longtime role model Kyle Busch's NASCAR legacy,0.000556,0.000031,0.000203,0.000122,0.000339,0.000032,0.000024,0.000000,100.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/world/cuba-plunges-total-blackout-electrical-grid-collapses-us-embassy-warns,Another blackout plagues communist nation as fuel shortages bite hard,0.116513,0.000204,0.000836,0.003372,0.008252,0.020755,0.000440,0.000000,0.000000,100.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/politics/trump-declares-victory-historic-deal-greenland-secures-permanent-us-military-rights,Trump declares victory with historic Greenland deal as he secures 'permanent' US military rights,0.000477,0.000021,0.000120,0.000104,0.000178,0.000042,0.000022,100.000000,0.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/us/gabby-petito-mother-urges-public-ripple-effect-help-find-missing-5-years-after-daughters-murder,"Five years after her daughter's remains were found, Nichole Schmidt has a plea",0.002002,0.000042,0.000425,0.000197,0.000703,0.000085,0.000224,0.000000,100.000000,0.000000
Fox News,en,2026-09-19T15:27:10.160273+00:00,https://www.foxnews.com/opinion/newt-gingrich-xi-coming-washington-should-bring-unexpected-guest,NEWT GINGRICH: Xi is coming to Washington. He should bring one unexpected guest,0.000841,0.000044,0.000406,0.000143,0.000558,0.000066,0.000040,0.000000,100.000000,0.000000
